TITLE,COMPANY,SALARY,Gender Identity / Ethnicity,YEARS OF EXPERIENCE,LOCATION,JOB DUTIES,PREV SALARIES/TITLES/ETC
Reporter,Swift Communications ,17.75/hr for estimated gross of $39000,mixed race cis woman,2,Colorado ,"Cover local government, environment ",$15 an hour at similar role in another Swift paper 
reporter,tampa bay times,"$42,000 ",cis white female,4.5,"st. petersburg, florida","reporting, writing, pitching and photo-related tasks that sometimes include taking photos myself","was making $37,400 before a raise in fall 2019"
City hall and county courts reporter,Tampa Bay Times,"$40,820 ",cis white male,5,"St. Petersburg, Fla.","Report and write stories about the city of St. Petersburg, Fla. and the Pinellas County court system","Last raise in 2018 from $39,000"
Reporter,Tampa Bay Times,"45,000",cis white female,4,"St. Petersburg, FL","cops, courts, breaking news",
Content marketing manager ,Tech company ,"120,000","Female, caucasian",8,Boston,"Manage a team, content strategy, freelancer management, writing, editing","Managing editor, assistant editor"
Senior Managing Editor ,Tech publication ,"130,000",While male,20,New York,"Manage ~5 direct reports, editorial planning, feature writing and editing, media appearances,  traffic analysis. ",
Digital producer/assignment editor,Tegna,"$37,000 ",Cis white female,3,Michigan,"Overseeing all of the station's digital output, from writing 5-10 stories a day to editing reporters' stories, running multiple social media accounts for a combined audience of over 300,000, editing video for the website and just generally curating the website. I also run the assignment desk during the evenings, which includes assigning stories, finding stories, confirming breaking news and being the point of contact for people in the field and answering the tipline. We're a top 50 market. ",
Digital producer/assignment editor,Tegna,"$37,000 ",Cis white female,3,Michigan,"Writing, editing, running multiple social media accounts, assignment editor",
Digital Content Producer,TEGNA,"55,000",African-American Woman,7,,"Writing articles, copy editing, video editing, social media",$36K>$41K>$55K
Line Producer,TEGNA,"$42,000 ",Cis White Male,3,Virginia,Producing daily newscast,$25K
Digital Content Producer,Tegna,"$50,000 a year",white cisgender female,3,California,"Editing stories for web, social media, clipping videos",
Intern,Tegna/NBC,$7.25/hr,cis female/middle eastern,2,Tennessee,,
News Producer,Telemundo,"72,410",WOC Latina ,10,Boston,"In charge of crafting a half hour or entire hour show (if a producer is missing that day), select the stories, write them all, edit all the videos, correct reporter's scripts, edit the PKGs, create the CGs, and booth the shows in the control room. ","40,000 News Producer in Albany"
test,test,test,test,1,test,test,test
Digital News Producer,Texas Public Radio,"$42,000 ",cis white woman,3,Texas,"editing stories, photos, headlines; creating multimedia content; scheduling social media posts","Reporter: $27,500

Digital Content Editor: $35,000"
Staff Photographer,"The (Wilmington, Del.) News Journal",46500,Male,4.5,"Wilmington, Del.","Photography, Multimedia Production, Video Editing, Occasional Writing, Building Photo Galleries, Publishing Online Content","$31,000, Staff Photographer, Casper Star-Tribune (Casper, Wyo.), $29,800, Staff Photographer, Evansville Courier & Press (Evansville, Ind.)"
Staff writer,The Advocate,"$50,000 ",cis white man,3,Louisiana,"Covering a beat, reporting, writing ",
Reporter,The Advocate,"60,000",White cis woman,3,New Orleans,"Covering a specific beat, doing investigative work, writing daily stories. ","Reporter, Advance Local: 43,000
Reporter, Lee Enterprises: 32,000"
Reporter,The Advocate ,"$45,000 ",Female,8,Louisiana ,Beat reporter,"Small town newspaper $28,000 
Mid-size city newspaper $48,000 "
Reporter,The Advocate ,"$44,000 ",white,19,New Orleans,Specialized reporting,"$45,000 reporter at a Gannett paper. "
Assistant Editor,The Altus Times,"$24,000 annually",Cis white male,4,Oklahoma,"Research, writing, editing, photography -- all the above.

I am the only sportswriter at the newspaper, and it is my job to cover four local high schools and one junior college. On top of that, I am required to also write a few news stories every week for this paper and another one my company owns. ",
Reporter,The American Lawyer/ALM,"$58,000 ",cis white female,2,"New York, New York",,First job
Reporter,The Arizona Republic,"$41,000 ",cis-het white man,3,Phoenix,"pitch narrative/investigative stories, report them, write them",
Multimedia Reporter,The Arizona Republic/Gannett/USA Today,"46,000",cis white woman -- disabled,2,"Phoenix, Arizona",#NAME?,"AP Temp Reporter ($48,000), NPR Temp ($40,000), CNN News Associate ($36,400)"
Staff Photographer,The Aspen Times,"45,000",White female,4,"Aspen, Colorado",The only staff photographer,
reporter,The Associated Press,"84,600",cisfemale/white,15,San Francisco,"daily & enterprise beat reporting, fixtures","started at AP at 37,500 in 2005"
Data journalist,The Associated Press,"$100,800 ",Multiracial cis male,8,Chicago,"Data analysis, web development, R&D","$86,000 starting in 2015; $80,000 developing interactives at The Chronicle of Higher Education until 2015; $60,000 developing interactives at PBS NewsHour until 2013"
Reporter,The Associated Press,"87,500",Cis-male,10,New York City,"Reporting deep enterprise stories, including some breaking news",
Reporter,The Associated Press,102800,"Male, white",17,Europe,"Reporting, editing, slotting, cross-format coordination, social media promotion",
Reporter,The Associated Press,"80,000",cis white female,19,NYC,"beat reporting, enterprise, spot news, fixtures",
Assistant editor,The Atlantic,"48,000",cis poc female,1,"Washington, D.C.","fact-checking, copy editing, project management",
Producer,The Atlantic,"$80,000 ","cis, female, Asian ",7,Washington D.C.,"Ideate, report, produce, and execute live journalism;  project management, cross-functional collaboration w/logistics+operations, audience development, design and marketing, PR and biz dev. ","Associate Producer (72K), Assistant Producer (57.5K)"
Assistant editor,The Atlantic,"$55,000 ",cis female poc,4,DC,,"$25K as Atlantic editorial fellow, $42K starting salary as assistant ed"
Associate Editor,The Atlantic,"$60,000 ",Asian male,3,"Washington, D.C.",,
Assistant editor ,The Atlantic ,"$51,000 ",WOC,2,,,
Social Media Director,The Boston Globe,"$50,000 ","cis-het male, white",3,Boston,Manage social publications and some digital story assigning,Digital content director at a midwest station - 32k
Reporter,The Boston Globe,"$74,000 ",cis POC woman ,7,Boston,"Reporting, writing ",
,The Center for Investigative Reporting / Reveal,My hourly wage would calculate out to about $58k,Cis white female,2,Remote,"Post production for the podcast, research, digital stuff, a little bit of a catch all for everything and everyone",
Associate Editor,The Channel Company/CRN,"$73,000 ",Cishet white male,7,Boston,"Breaking news, features","$47,000/Staff Writer $32,000/Online Editor $23,000/Reporter"
"Senior Editor, Design and Delivery",The Chicago Reporter,110k,White man,15,"Chicago, IL","Digital strategy; software architecture; data analysis, reporting + visualization","All starting salaries -- I never stayed anywhere long enough for raises to be appreciable. Made money on the side from time to time by speaking or teaching.

ProPublica Illinois - Chicago - News Apps developer - $105k - 2017-2019

NPR - DC - Acting director/editor - $125k - 2016-2017

NPR - DC - News apps developer - $110k - 2014-2016

Chicago Tribune - News apps developer - $75k - 2012-2014

Fermilab - Web engineer (independent contractor) - $85k after expenses"
Reporter,The Chronicle of Higher Education,"$72,000 ",Cis white female,5,DC,Reporting,
Reporter,The Chronicle of Higher Education,"66,000",cis white female,3,Washington D.C.,Reporting beat and longform stories,"$32,000 at a statewide paper in the South for ~2 years"
Copy editor/page designer,The Columbian,$20/hour,Female/mixed,17,"Vancouver, Wash.","Designing and editing news, business and features sections, including selection of wire stories and art; updating online news site and monitoring comments.",Unchanged over 10.5 years (no COLA).
Copy Editor/Page Designer,The Columbian Publishing Company,"$30,000 ",White male,2,"Vancouver, WA","Copy editing, page design, web posting, etc.","8 years as a reporter, photographer, editor, designer = all less than $30,000"
Reporter,The Columbian Publishing Company,"$44,000 ",White cisgender woman,7,"Vancouver, Wash.","Daily reporter, writing 3 - 5 articles a week.","$15.50 an hour, $16.50 an hour, $21.31 an hour."
Reporter,The Columbian Publishing Company,"$35,000 ",White male,5,"Vancouver, WA",,
Features reporter,The Columbus Dispatch,"42,000",White cis hetero woman,3,"Columbus, Ohio","Researching, writing, editing, was appointed to several committees, ran a concert series in the summer","Started at 41,000"
Prep sports reporter,The Commercial Dispatch,"$29,000 ",White male,0,"Columbus, Mississippi","High school sports reporting, page design and editing",May college graduate
Director of Social Media,The Daily Beast,"$95,000 ",cis woman POC,7,NYC,"Manage team of 4 and all social platforms, on call 24/7 for breaking news, social/search/aud dev strategy, work with all teams across company including sales and product, style guides and trainings for newsroom, meetings/crisis management/handholding, pitching/writing/editing","- Director: Started at $90k, raise to 95. 
- Social Media Editor: Started at 70k, raise to 75k
- Production Coordinator (TV/digital): 47k
- Production Assistant (TV/digital): 42k
- Editorial Assistant, Hearst: 32k"
Reporter,The Daily Beast,"55,000",Woman/White,2,,Write 2-3 stories per week on a range of culture-related subjects. Investigative reporting and criticism. ,
Digital Strategist,The Denver Post,"$45,000 ",cis white women,2,Denver,"Social media, website management, production, analytics, engagement, etc.",
Digital Strategist,The Denver Post,"53,000",White cis lesbian,3,Denver,Produce and grow the audience of a separate entertainment and outdoors site,"General assignment reporter - 43,000 after 2 years"
Editor,The Economist ,"$65,000 ",Cis white female,6,,"Writing, assigning, editing, strategy ",
Reporter,The Ellsworth American,"$24,622 (with benefits, after taxes)",Cis woman/White,2,Maine,"Reporter, weekly newsletter writer, Instagram manager",
Student Writer/Intern,The Fresno Bee,$12/hr,Female,3,"Fresno, California","crime, breaking news, general assignment",
Reporter,The Gazette,"$41,000 ",cis-het white female,6,"Cedar Rapids, Iowa",Reporting and writing,"Editor for online publication, $40,000"
Digital editor,The Gazette,"$42,420 ",cis white male,4.5,"Cedar Rapids, Iowa","Graphics/video/podcast production, copyediting, social media, breaking news","Hired at $39,000"
Deputy Head of Department,The Globe and Mail,"111,000 (plus 10%+ bonus)","Male, POC",12,Toronto,"Manager. 14 direct reports across photo, graphics, videos, design, data journalism, editing and design. Responsibilities for budget, staffing, career dev, performance reviews, visual storytelling (assigning and ideation), on-call, viz-journalism strategy.  Responsible for visual across all platforms: screens, magazines, and news print. ",Art Director. 100k. Design Editor 95k. 
Photo Editor,The Globe and Mail,95-97k,Male,35,Toronto,"Daily assigning, editing, print and digital placement and slotting, photo enhancement, industry outreach, documentary storytelling and editing, industry outreach, advocating for visuals and photos. ",
Reporter,The Globe and Mail,"145,000","Male, White",20,Toronto,Investigative/enterprise reporter ,
Columnist,The Globe and Mail,"200,000","White, Male",25,Toronto,Politics columnist,
Freelance Opinion Columnist,The Guardian,"$50,000 ",Cis White Lesbian,6,New York,"Write one 800-1000 word column per week, pegged to the news cycle. ",$45000 as an assistant literary editor
Freelance Journalist,The Guardian,"$25,000 ",cis white male,5,"New York, NY","Contribute on average one feature, independent reported story per week, 40-50 so far in 2019",
Reporter,The Hechinger Report,"$70,000 ",female/white,10,HQ in NYC,"Education reporting, some editing and management duties","$55,000/Reporter | various/freelancer | $13 per hour/intern | unpaid intern (school credit)"
Senior Editor,The Hechinger Report,"$72,000 ",hetero woman of color,13,Company is in New York but I work remotely,"Write weekly newsletter and long features, plus some project management","Reporting, editing and producing; I started that role making $60,00"
reporter,the hill,"$50,000 ",white male,2,d.c.,"cover a beat, mostly centered on capitol hill",
Reporter,The Hill,"$55,000 ",Cis white male,4.5,"Washington, D.C.",Spot/general assignment reporting,"Hired at $50,000"
Reporter,The Hill,"57,000",,5,Washington DC,,
Staff writer,The Hill newspaper,"$58,000 ",White cis female,,"Washington, D.C.",,
photographer,The Hill Times,37000,Cis male/white,11,"Ottawa, ON, Canada","shoot daily news assignments, identify and assign photo assignments for potential coverage, organize and maintain photo archive onsite and in cloud, coordinate with reporters to manage imaging needs for publication",
Data Journalist,The Houston Chronicle (Hearst Newspapers),60000,Female (cis)/ White,3,"Houston, TX","request and analyze data, build web applications and interactives, report and write","previously hired at 50k in Dallas, TX as a Data Journalist. After nearly two years left at $53k."
Reporter,The Information,"$60,000 ",Cis white male,7,NYC,"Reporting, writing",
Reporter,The Intercept,"$49,000 ",,10+ years,NYC,"reporting, researching, and writing",
Editor in Chief,The Intercept,"$368,249 ",F/W,30,New York City,Go to meetings,
Reporter,The Jerusalem Post,30000,cis white female,10,"Jerusalem, Israel",report / write several stories a day,
Reporter,The Morning Call,48000,White male,7,"Allentown, PA",,
Reporter,The Morning Call ,"$47,000 ",White female,12,Allentown,,
Staff writer,The New Arab ,"UK £23,000 ($29,537)",Cis White Female ,1.5,"London, UK",,Freelancer 
Staff Writer,The New Food Economy,"65,000",straight white male,4,NYC,News and feature writing,
Reporter,The New Food Economy,65000,Cis-het WOC,3.5,New York,News and feature reporting,$42K social media manager at The Stranger
"Co-Founder, Publisher",The New Stack,$125k,male/white,30,"Portland, Or.","Editing, podcasting, business development, management","Same salary: Founder, Editor-in-Chief, TNS; $65k, Freelance writer, TechCrunch, other pubs"
Senior Editor,The New York Times,"$125,000 ",WOC,10,NYC,Assign and edit articles,
News Assistant,The New York Times,"60,000",White female,2,New York,,
Reporter,The New York Times,"$133,000 ",cis white male,13,"New York, NY",Reporter,"First job out of college, reporter at a larger regional paper: $33,000. Then over the years: $55,000, $62,000, $98,000, $102,000."
Assistant Video Editor,The New York Times,"$57,980 ","Female, Hispanic",4,New York City,"Video editing, publishing, producing, field producing, writing, associate producing etc. ","associate producer, production associate, etc. "
Reporter,The New York Times,"$125,000 ",cis male black,12,,Report on various stories around the country,
Photo Editor,The New York Times,$127k,African American Cis Male ,3,New York City,"Assigning photographers, producing visuals for stories and working with photographers to create more visually driven stories. Also working with some video along the way. ","$95k - Photo Editor - The Washington Post ($10k signing bonus) 
$85k - Sr Photo Editor - ESPN "
Staff Editor,The New York Times,"$83,000 ",Female / White,10,Hong Kong,,
News Assistant,The New York Times,"$56,000 ",Cis white male,1,NYC,"Answer phones, social media, scheduling, room booking, catering, training reporters/editors in new skills, helping editors/reporters with questions, some reporting/writing","Editorial fellow, $10/hour"
Staff Editor - Photo,The New York Times,"$130,000 + $2,000 bonus annually (most years)",cis white male,8,New York,"Assign photographers, produce stories, plan coverage of major news events","Associate Photo Editor $51,000/yr, Photo Editor $40,000"
Editor,The New York Times,"$120,000 ",Cis male/non-white,8,New York City,Writing/Editing/Production,
Photo Editor,The New York Times,"$102,000 ",Female / White,6,New York,"Assigning photographers for daily coverage and enterprise stories, producing visually driven stories","Photo Editor - $100,000
Freelance Photo Editor - $40/hour
Associate Photo Editor - $45,000"
"Executive Editor, News",The New York Times,"350,000",Black,30,New York,,
Photo Editor (freelance),The New York Times,"$56/hour ($90-100,000 annually)",White cis female,6,New York,,"Photo Assistant ($38,000); Freelance Photo Editor ($27/hour) -- both at major national magazines."
Graphics Editor,The New York Times,"$110,000 ",Female,5,New York,,
"Graphics Editor (really a reporter, I don't act in an editor capacity)",The New York Times,"122,000",cis poc woman,5,New York,create interactives and other graphics,similar job not at NYT: 55k to 80k+
Deputy National Editor,The New York TImes,"175,000","Female, White",15,New York,,
Sr. Visual Editor,The New York Times,"150,000","Male, White",13,New York,Driving visual coverage and storytelling for a section of the newsroom,
Graphics Intern,The New York Times,"$56,000 ",cis male / taiwanese,1,"New York, NY","Had similar responsibilities as a regular reporter in the core Graphics team (e.g. embeds, visual production, debates coverage)",
Assistant Editor,The New York Times,"135,000",white man,10,New York,,
Freelance journalist,"The New York Times, Forbes.com, The Guardian (U.S.)","$26,000 estimated in 2019",male/white,38,"South Orange, N.J.","Reporting and writing pieces for a newspaper, website and blog.","Staff writer, Dallas Morning News and Philadelphia Inquirer. Also, contributor, The Wall Street Journal."
Reporter,The News Journal ,"$56,100 ","Cis female, white",4,Delaware,Enterprise/watchdog reporting ,"$33,000 at small daily newspaper "
Multimedia Journalist,The Oakland Press,"31,000",Cis White Male,3,"Pontiac, MI","Beat reporting for several towns in Oakland County, MI",
Editor,The Onion,"34,000",cis white male,4,Chicago,"Wrote and edited local entertainment features, columns and hundreds of concert previews for The Onion's weekly print edition and daily A.V. Club website, building a distinct local voice and audience for a national media outlet.
Led editorial expansion from a weekly print section to a daily local arts website.
Managed Twitter and Facebook accounts and weekly email newsletters.
Worked with freelance writers, photographers, an assistant editor, and interns to meet daily and weekly story deadlines and maintain an online events calendar.",
"Project Manager, Art Department ",The Onion,"55,000.08",Cis White Female,4,"Chicago, IL ","managing workload of GFX team and distributing assignments, communicating between departments, general team admin, maintain props, facilitate work of our art director","When I started at the onion I was a art department project coordinator making 45k (negotiated up from 40k). A year in, I was given the title of project manager and raised to 50k. At the start of this year, our union contract raised me to 55k. "
Video Senior Producer,The Onion,65000,Cis white male,5,Chicago,"Produce, direct, oversee video production for publications",
Video producer,The Oregonian,"67,000",Female,5,"Portland, Oregon","Produce, shoot and edit short-form, long-form and series-based videos",
Audience Engagement Editor,The Philadelphia Inquirer,"70,500",cis Black Male,8,Philadelphia,"Analyzing social and digital traffic, publishing on branded accounts and highlighting opportunities to increase reach, readership and engagement. ","social media producer 32,000 - 34,000 (2012 - 2014)
digital producer 45,000 - 47,000 (2014 - 2016ish)
Social Media Producer 70,000 - 74,000 (2016 - 2018)"
Reporter,The Philadelphia Inquirer,"~53,000",WoC,2,Philadelphia,"Reporting, writing, etc.",
reporter,The Post And Courier,"$33/hour, target 45 hours per pay period",cis white male,10,Charleston SC,"pitching, reporting, writing","All NYC: coordinating producer, 100,000; producer, $85k; senior writer, $72k; staff writer; $60k; editorial assistant $37k"
Reporter,The Post and Courier,"$39,500 ",cis white female,3,Charleston,News reporter,Started at $35k
Reporter,The Post and Courier,38000,White cis male,8,"Charleston, S.C.",,
Editorial / Executive Assistant ,The Real Deal ,"$45,000 ",Cis White Female ,3,New York City,"everything from managing EIC's calendar and email, acting as central admin for 50+ employees, schedule and coordinate all internal and external meetings for editorial team, booking all travel for editorial team, posts jobs resume reading phone interviewing and scheduling, research projects, transcribing and proofing, etc etc etc etc etc etc etc etc etc etc etc etc ",
Writer,The Ringer,"$84,000 ",White female ,6,,"Writing features, essays, blog posts ","Gizmodo senior writer, $70k "
Reporter,The Sacramento Bee (McClatchy),"$41,500 ","Cis woman, PoC",1,"Sacramento, CA",General assignment beat reporter,"Full-time intern, $35,000"
Reporter,The Salt Lake Tribune,$19.58/hour,Cisgender white female,3.5,"Salt Lake City, Utah",Beat coverage,None
Newsroom Developer,The San Francisco Chronicle,90000,"He/Him, Bengali",3,"Bay Area, United States",Develop design enterprise stories and  templates for digital platforms,"Interactive producer: 85000 salary
Designer: 60000 1yr contract
Producer: 47500 1yr contract / part time
Producer: $20/hr contractor / part time"
Reporter,The Seattle Times,"$63,000 ",Cis white male,9,Seattle,"Reporting, writing",
Reporter,The Seattle Times,"$54,690 ",White cishet woman,1,Seattle,Report. Write. ,
Producer / engagement editor,The Seattle Times,$48.5k / year,Male / white,3,Seattle,"Reporting, organizing events, writing social media copy",
Photojournalist,The Statesman Journal,33K,Female,2,Salem OR,Two photographers handle the photo load for a daily and online newspaper. ,
Staff Writer,The Villages Daily Sun,"$32,000 ",White woman,3,"The Villages, FL",Writing 4-5 articles plus associated briefs for a daily paper,None
Reporter,The Wall Street Journal,"103,000",Cis woman poc,10,NY,"Reporting, Writing","92,000 Reporter "
Senior Video Producer,The Wall Street Journal,"90,000",Male,6,,"Pitch Write, Produce, Edit, Shoot Videos. Help develop younger proudcers",60k
Reporter,The Wall Street Journal,"$68,000 ",White/F,2,NYC,"Reporting, writing",Internships
Reporter,The Wall Street Journal,"$80,000 ",white cis heterosexual female,9,New York City,beat reporting ,"Reporter, $57,000"
Social Media Editor,The Wall Street Journal,65000,Cis asian female,6,NYC,"Maintain off-platform channels, graphic design, conduct studies on performance",N/A
reporter,The Wall Street Journal,130000,cis white female,8,San Francisco,,
Reporter,The Wall Street Journal,"$75,000 ",cis white female,3,New York City,Reporting breaking news and writing features,"First Job: $50K, Second job: $50K to $65K over two years at second job (increased salary thanks to union membership + a job offer from a different publication)"
Staff Editor,The Wall Street Journal,"$116,000 ",Cis white/Asian woman,13,New York,Assign and edit all articles in a section. ,"Digital Editor at Conde Nast ($90k), Digital Editor at Forbes ($68k)"
Associate Graphics Reporter,The Wall Street Journal,70000,,2,"New York, NY",,"SF Chronicle intern: 16.50/hr, Texas Tribune fellow: 5k stipend"
Graphics Director,The Wall Street Journal,180000,F/W,,"New York, NY",,
Graphics Editor,The Wall Street Journal,103300,F,9,,,
Associate Video Journalist,The Wall Street Journal,"$65,000 ",Cis Female/Latina,2,NYC,"Pitch, script, shoot, and edit videos for social media and website",~25/hr as an intern
Assistant Editor,The Wall Street Journal,"$38, 532 (base, excluding overtime)",Cis Female / PoC,2,"New York, NY","Fact-checking/ proofing; pitch, report and write stories; coordinate market and market credits; coordinate visuals and shoot production; scheduling for senior editors; long-term planning; project management; liaising with brands and PR; building out/ refining team organization",
Photo Editor,The Wall Street Journal,"81,000",Female,23,New York,Producing editing photo shoots for print and digital,"90,000/Photo Editor"
Video Journalist,The Wall Street Journal,"76,000",White female,6,New York,"Video editing, reporting, scripting, motion graphics","Started at $72,400 - received basic 2% raise"
Staff Writer,The Washington Post,"$41,000 ",cis white male,6,Washington DC,"writing, researching, editing, some aggregation",
Copy editor/slot editor,The Washington Post,"$72,000 ",cis white male,3+,Washington,"Editing/slotting stories across the national, foreign, business, science, local and entertainment sections, as well as online verticals. Editing photo galleries, alerts and other digital content","Copy editor at Washington Post: $56,000 (2016)"
Assistant editor,The Washington Post,"$75,000 ",cis white male,3,Washington,Daily production duties and soliciting/editing articles,"Copy editor at WP $63,000, producer at WP $68,000"
Opinion Writer,The Washington Post,"$91,000 ",cis white female,3+,Washington,"writing, reporting","Producer/asst. editor at TWP: $56,000 (2016) $58,000 (2017) $68,000 (2018)"
Staff Writer,The Washington Post,"$36,000 ",PoC female,3,Washington DC,"Writing, research, editing stories",N/A
Social Media Producer,The Washington Post,"$60,000 ",Cis black woman,1.5,Washington DC,"scheduling and managing accounts, news-gathering and breaking news","$43,000 - social producer at a nonprofit"
Staff Writer,The Washington Post,"$95,000 ",cis white woman,8,"Washington, D.C.",Report and write stories,"Video Editor $58,000-$87,000"
Reporter,The Washington Post,"86,000",Asian male,7,"Washington, D.C.",Beat reporter,"Hired at 65,000."
Assistant editor,The Washington Post,"92,500",Cis white male,5,"Washington, DC",Commissioning and editing articles,"Freelance for 3.5 years, previously non-journalism academic work"
Audio Producer,The Washington Post,"92,000",Female / White,7,"Washington, DC",,
Reporter,The Washington Post,"89,000",Cis white female,5,Washington DC,"Reporter, writes features, covers national breaking news",
Social Media Producer,The Washington Post,"$68,500 ",Cis-het POC male,4,"Washington, DC","Writing/scheduling social media posts, creating social media plans for projects",
Staff writer,The Washington Post,"$103,000 ",Cis White Female,40,Washington DC,"Report, write stories","Hired at $90,000 as an editor after previous job where I made $125,000, also as an editor."
Reporter,The Washington Post,"85,000",cis male POC,17,"Washington, D.C.",beat reporter ,"community manager at nonprofit news org (62,000), reporter at state metro (57,000)"
Social Media Producer,The Washington Post,"$65,300 ",Cis poc male,8,Washington D.C.,"Writing/scheduling social media posts, creating social media plans for projects",
Social media,The Washington Post,75K,"POC male	",4,DC,Social and breaking news,
Social media producer,The Washington Post,"67,00",Cis white female,8,"Washington, DC",Managing social accounts,
Senior Producer,The Washington Post,"100,000",cis white gay man,5,Washington DC,daily operations for a news show,"86,000 Senior Producer, WNYC Studios
75,000 producer wnyc studios
Various freelance / fellowship work before then"
Staff Writer,The Washington Post,116000,cis white male,11,"Washington, DC",covering the news,
Multiplatform editor,The Washington Post,"$65,000 ",Male/Hispanic,4.5,"Washington, D.C.",Building app edition and curating story files,">$35,000/Freelancer"
staff writer,the washington post,"77,000",white woman,6,DC,"reporting, writing, aggregation",
Designer,The Washington Post,"$80,000 ",nonbinary/white,7,Washington DC,"animation, layout/design, illustration","$77,000 video editor/animator; $72,000 graphic designer"
Multiplatform Editor (Part-time),The Washington Post,"$56,000 ",Cis female / Latina,2,Washington DC,"Editing stories and online verticals for grammar, consistency, style, and facts. Editing photo galleries, alerts and other digital content",Internships that paid much less
Video journalist/editor,The Washington Post ,"$75,000 ",Cis-POC female,8,"Washington, D.C.","Edit, shoot, write, voice overs, hold down the fort b/c managers can't edit video","Started at $65k. Tried to negoitiate but told there was no money left in the budget. Got a 2.3% merit raise a year later to $68k, negotiated to break into the $70ks after job change. Found out the person before me in my position was making close to $100k. "
Multi platform editor,The Washington Post ,"$71,000 ",Cis /POC,12,Washington DC,,
Health Reporter,The York Dispatch,"$23,500 ",cis-gender bisexual white female,10,"York, PA",Cover health issues in SE PA,
Writer,TheSkimm,"$72,000 ",Cis POC Female,2,New York,"Writing, editing, fact-checking",Assistant Editor 
Social Media Specialist,Think Tank,"58,800",Woman / African American,10,"Washington, DC","Everything media management - social media, digital toolkits, shareholder and corporate communications, strategic planning and marketing - all the goods.","PR Assistant ($40k), Marketing Associate ($48k)"
Fellow,This American Life,"$6,250/month - 75k/year (public on their website)",,,New York,,
staff writer ,thrillist,"starting salary $60k, after one year $68k with union raise",cis female / white ,4,NYC,seo posts and feature writing ,
Associate Video Producer,TIME,"$53,000 ",WOC,3,New York City,"Produce breaking news videos; Pitch, report on and produce longer feature video stories",
Associate Video Producer,TIME,"$53,000.00 ",cis hetero male poc,3,NYC,"pitch, write, shoot, edit breaking news videos","$43,000.00 (same position)"
Associate editor ,TIME,"45,000",White Cis Male,3,NYC,"SEO, Web Production, Writing, Production Management, Audience Dev ","40,000, 38,000 as Web Producer "
Associate Photo Editor,TIME,"$68,000 ",Cis white female,3,New York,"Assigning photographers for print and online stories, working on feature stories, portraits, and TIME covers. Shoot production for large scale projects. Website photo production for large scale projects. Photographing for magazine. Training all non photo editorial staff on photo best practices/photo research. Live event editing. Creating photo illustrations. Breaking news coverage. ","Intern - $17 and hour / Multimedia Editor -$55,000"
Senior Art Director,TIME,"$102,000 (starting 2014)","straight cis male, chinese-american",20,New York,"editorial print design (everything except cover), illustrator, hire and art direct freelancer, animated instagram stories","prev HuffPost ($90k senior designer), Boston Globe (80K features design supervisor), Chicago Tribune 65K, San Jose Mercury News 80k, OC Register 45k"
Associate Video Producer,TIME,"$57,000 (~64k w/ OT)",Male/White,3.5,New York,"Produce breaking news videos, produce middle-form videos, manage YouTube channel, ",Production Assistant 
Video Producer,TIME,"71,000",,5,New York,,
Reporter,TIME ,"45,500",White cis female ,1.5,New York City ,"Reporting for Newsfeed vertical on entertainment, viral news, culture, etc. -- Still assisting News team with previous responsibilities as producer ",8 months as Producer on News Desk (35K-ish + overtime) 
Senior Editor,"Tiny media start-up, 2 employees","75,000",Cis woman / white,3,Manhattan,"Assigning, editing, and writing multiple stories a day, overseeing video and social","Associate editor (62K), Reporter (60K), Associate editor (50K)"
Researcher,TMZ,"$65,000 ","White, Female",5,Los Angeles,"Researching stories, copy editing, posting",
Digital managing editor,Too small to be named outright without being indentified,"72,000",Cis white male,9,New York,overseeing digital and social teams,
Managing Editor,Too small to be named without identifying myself,"$65,000 ",CIS white male,4,"Vancouver, Canada","Managing editorial team, approving pitches, editing, content strategy","Data journalist $55,000, Creative director $65,000"
Staff reporter,Too small to name,"$26,000 (before taxes)",Cis woman/ African American,1,Chicago,write 5-7 stories a week,
"Project editor/managing editor, digital",too small to name,"76,500 after taxes",Cis white female,25,New York City,"Overseeing a website vertical, writing, managing client content, 50+ freelancers","Senior digital editor, $75k"
Managing Editor and Writer,Too small to name w/o outing myself,"34,000",Cis woman,10,New Jersey,"Cover news and conduct interviews, create monthly newsletters, edit print magazines with EIC, write: features, case studies, etc","Editorial assistant, news reporter, freelance writer - prev salaries range from 24,000 as a reporter, 28,000 as an EA which got bumped to 32,000 and eventually a managing editor, varying freelance rates"
Senior Writer/Team Leader,"Too small to name, completely remote company","$54,080 plus monthly page view performance bonus",Black woman,5,New York City/remote,"Write 4-5 articles a day, manage a team of writers, manage several team meetings for writers, conduct interviews, and cover events","When I was a writer my salary was $41,000 and later I negotiated for a 6% raise. I started in my current role at $52,000 then I negotiated again."
Social media producer,Toronto Star,"$42,000 ",cis white female ,3,Toronto,"Managing social media accounts, using social media to contribute to reporting ",
Staff Reporter,Toronto Star,17/hr,white cis woman,3.5,Toronto,"Daily news reporting, writing most often about crime, like shootings and stabbings. Also a generalist reporter. ","900/month, editor in chief at a student newspaper in Montreal "
Digital Editor,Toronto Star,"125,000 + bonus","Female, White",15,Toronto,Digital leadership and 8 direct reports. ,"115,000"
Reporter + Photographer,Toronto Star ,"$44,000 (Canadian)",white cishet male,2,"Calgary, Alberta",#NAME?,
